layer,source_emotion,eval_vector_emotion,score
20,happy,happy,0.11487995088100433
20,happy,sad,-0.11961754411458969
20,happy,angry,-0.617247462272644
20,happy,happy,0.6305065155029297
20,happy,sad,-0.27258598804473877
20,happy,angry,-0.9478952288627625
20,happy,happy,-0.035407714545726776
20,happy,sad,0.4220104217529297
20,happy,angry,-0.5669180750846863
20,happy,happy,-0.2749452590942383
20,happy,sad,0.5142830610275269
20,happy,angry,-0.654077410697937
20,happy,happy,0.41076895594596863
20,happy,sad,-0.5337299108505249
20,happy,angry,-0.43660271167755127
20,happy,happy,0.391848623752594
20,happy,sad,-0.4072781205177307
20,happy,angry,-0.6737298965454102
20,happy,happy,0.48865383863449097
20,happy,sad,-0.25206780433654785
20,happy,angry,-0.79220050573349
20,happy,happy,0.05914495885372162
20,happy,sad,0.23862476646900177
20,happy,angry,-0.8017762899398804
20,happy,happy,0.7101618051528931
20,happy,sad,-0.6433494687080383
20,happy,angry,-0.7081027030944824
20,happy,happy,-0.054168105125427246
20,happy,sad,0.08162415027618408
20,happy,angry,-0.47152823209762573
20,happy,happy,-0.18053151667118073
20,happy,sad,-0.22554638981819153
20,happy,angry,-0.021090922877192497
20,happy,happy,0.23355013132095337
20,happy,sad,0.20743049681186676
20,happy,angry,-0.5087575316429138
20,happy,happy,0.3136727809906006
20,happy,sad,0.42558032274246216
20,happy,angry,-1.0651469230651855
20,happy,happy,0.08395267277956009
20,happy,sad,0.6981916427612305
20,happy,angry,-0.9189879298210144
20,happy,happy,0.08805210888385773
20,happy,sad,-0.25070831179618835
20,happy,angry,-0.2737044095993042
20,happy,happy,0.08271501958370209
20,happy,sad,0.16807731986045837
20,happy,angry,-0.5775318741798401
20,happy,happy,0.003223910927772522
20,happy,sad,-0.17720410227775574
20,happy,angry,-0.37439587712287903
20,happy,happy,-0.8490657806396484
20,happy,sad,0.8899602293968201
20,happy,angry,-0.4225809574127197
20,happy,happy,-0.2241586297750473
20,happy,sad,0.2517954409122467
20,happy,angry,-0.31712475419044495
20,happy,happy,0.025990262627601624
20,happy,sad,0.233494371175766
