layer,source_emotion,eval_vector_emotion,score
12,happy,angry,2.22031831741333
12,happy,happy,2.086759567260742
12,happy,sad,1.9953598976135254
12,happy,angry,1.9964996576309204
12,happy,happy,2.3327441215515137
12,happy,sad,2.2329742908477783
12,happy,angry,2.210221290588379
12,happy,happy,2.088510513305664
12,happy,sad,2.0286810398101807
12,happy,angry,2.028977155685425
12,happy,happy,1.9952020645141602
12,happy,sad,1.8084707260131836
12,happy,angry,1.7602016925811768
12,happy,happy,2.1303844451904297
12,happy,sad,2.107769012451172
12,happy,angry,2.1110429763793945
12,happy,happy,2.3057234287261963
12,happy,sad,2.174342393875122
12,happy,angry,2.132312774658203
12,happy,happy,1.5408258438110352
12,happy,sad,1.4137656688690186
12,happy,angry,1.349043607711792
12,happy,happy,2.325744152069092
12,happy,sad,2.2905521392822266
12,happy,angry,2.253361940383911
12,happy,happy,1.9875026941299438
12,happy,sad,1.8391915559768677
12,happy,angry,1.820024847984314
12,happy,happy,2.3139495849609375
12,happy,sad,2.2907586097717285
12,happy,angry,2.2007856369018555
12,happy,happy,2.210045099258423
12,happy,sad,2.049938678741455
12,happy,angry,2.0540404319763184
12,happy,happy,2.351060628890991
12,happy,sad,2.2738699913024902
12,happy,angry,2.2581801414489746
12,happy,happy,2.448690414428711
12,happy,sad,2.3878579139709473
12,happy,angry,2.342527389526367
12,happy,happy,2.11409854888916
12,happy,sad,2.0079259872436523
12,happy,angry,1.959014892578125
12,happy,happy,1.947288990020752
12,happy,sad,1.84523606300354
12,happy,angry,1.8421777486801147
12,happy,happy,1.746759057044983
12,happy,sad,1.6551202535629272
12,happy,angry,1.682413101196289
12,happy,happy,1.6862826347351074
12,happy,sad,1.725006103515625
12,happy,angry,1.6471827030181885
12,happy,happy,2.140939950942993
12,happy,sad,2.1536431312561035
12,happy,angry,2.1143651008605957
12,happy,happy,2.2681448459625244
12,happy,sad,2.194674491882324
12,happy,angry,2.243351697921753
12,happy,happy,1.7256604433059692
12,happy,sad,1.4897971153259277
12,happy,angry,1.48331880569458
12,happy,happy,1.93361234664917
12,happy,sad,1.8823306560516357
12,happy,angry,1.8632280826568604
12,happy,happy,2.1289308071136475
12,happy,sad,1.9999284744262695
12,happy,angry,1.9514659643173218
12,happy,happy,2.1737780570983887
12,happy,sad,2.1289730072021484
12,happy,angry,2.0561788082122803
16,happy,happy,1.8199080228805542
16,happy,sad,1.7197349071502686
16,happy,angry,1.739637851715088
16,happy,happy,1.8829841613769531
16,happy,sad,1.7866395711898804
16,happy,angry,1.7397092580795288
16,happy,happy,2.1341729164123535
16,happy,sad,2.0606138706207275
16,happy,angry,2.041041851043701
16,happy,happy,2.2419142723083496
16,happy,sad,2.197385787963867
16,happy,angry,2.1392734050750732
16,happy,happy,2.147397756576538
16,happy,sad,2.1746115684509277
16,happy,angry,2.0999059677124023
16,happy,happy,1.9110990762710571
16,happy,sad,1.967868685722351
16,happy,angry,1.978676676750183
16,happy,happy,2.2234139442443848
16,happy,sad,2.206526279449463
16,happy,angry,2.245656728744507
16,happy,happy,2.0306801795959473
16,happy,sad,1.9254287481307983
16,happy,angry,1.944329023361206
16,happy,happy,2.0586330890655518
16,happy,sad,1.935023307800293
16,happy,angry,1.9330748319625854
16,happy,happy,2.4636731147766113
16,happy,sad,2.403782844543457
16,happy,angry,2.361783504486084
16,happy,happy,2.5519683361053467
16,happy,sad,2.4864678382873535
16,happy,angry,2.43896484375
16,happy,happy,2.609830379486084
16,happy,sad,2.47076678276062
16,happy,angry,2.474827766418457
16,happy,happy,2.3759958744049072
16,happy,sad,2.2357840538024902
16,happy,angry,2.313354969024658
16,happy,happy,2.4623525142669678
16,happy,sad,2.4785497188568115
16,happy,angry,2.484541416168213
16,happy,happy,2.472947597503662
16,happy,sad,2.313406229019165
16,happy,angry,2.373662233352661
16,happy,happy,2.460047721862793
16,happy,sad,2.3027167320251465
16,happy,angry,2.289388656616211
16,happy,happy,1.971186637878418
16,happy,sad,1.9136408567428589
16,happy,angry,1.8749017715454102
16,happy,happy,2.650348663330078
16,happy,sad,2.670286178588867
16,happy,angry,2.601736307144165
16,happy,happy,2.0344486236572266
16,happy,sad,1.8381565809249878
16,happy,angry,1.9095655679702759
16,happy,happy,2.373530864715576
16,happy,sad,2.186394691467285
16,happy,angry,2.248670816421509
16,happy,happy,2.019164562225342
16,happy,sad,1.8614201545715332
16,happy,angry,1.869805097579956
16,happy,happy,2.075828790664673
16,happy,sad,1.9871686697006226
16,happy,angry,1.9324207305908203
16,happy,happy,2.0382416248321533
16,happy,sad,1.7961146831512451
16,happy,angry,1.8993828296661377
16,happy,happy,1.7320467233657837
16,happy,sad,1.6825286149978638
16,happy,angry,1.6525638103485107
16,happy,happy,1.8733817338943481
16,happy,sad,1.7583824396133423
16,happy,angry,1.8328983783721924
16,happy,happy,2.0660436153411865
16,happy,sad,1.9632275104522705
16,happy,angry,1.9698330163955688
16,happy,happy,2.500310182571411
16,happy,sad,2.4011478424072266
16,happy,angry,2.372286319732666
16,happy,happy,2.358928918838501
16,happy,sad,2.33514404296875
16,happy,angry,2.2505359649658203
16,happy,happy,1.8119921684265137
16,happy,sad,1.6769001483917236
16,happy,angry,1.771498203277588
16,happy,happy,2.474714756011963
16,happy,sad,2.369767189025879
16,happy,angry,2.3855414390563965
16,happy,happy,2.426436424255371
16,happy,sad,2.2909841537475586
16,happy,angry,2.3451972007751465
16,happy,happy,2.7024364471435547
16,happy,sad,2.789700508117676
16,happy,angry,2.7464516162872314
16,happy,happy,1.927915096282959
16,happy,sad,1.851306438446045
16,happy,angry,1.8454539775848389
16,happy,happy,2.3158135414123535
16,happy,sad,2.186237096786499
16,happy,angry,2.2112221717834473
16,happy,happy,1.988481044769287
16,happy,sad,1.9992356300354004
16,happy,angry,1.9686886072158813
16,happy,happy,2.500314235687256
16,happy,sad,2.512849807739258
16,happy,angry,2.492013931274414
16,happy,happy,1.9554903507232666
16,happy,sad,1.972780704498291
16,happy,angry,1.916454792022705
16,happy,happy,1.9606138467788696
16,happy,sad,1.922003984451294
16,happy,angry,1.8506996631622314
16,happy,happy,2.0658626556396484
16,happy,sad,1.9450430870056152
16,happy,angry,2.040282964706421
16,happy,happy,1.5605478286743164
16,happy,sad,1.3664467334747314
16,happy,angry,1.4381297826766968
16,happy,happy,2.502767324447632
16,happy,sad,2.4051284790039062
16,happy,angry,2.38814115524292
